# IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
1 0.1266545 0.6497595 0.1434003 0.7356681 1.490116E-06 3.851519 -6.98792 1 frame_0000.png

2 0.1182226 0.5959972 0.1545345 0.7790571 5.960464E-07 3.848358 -7.06793 1 frame_0001.png

3 0.1101602 0.5459837 0.1642599 0.8141162 -9.536743E-07 3.844123 -7.132411 1 frame_0002.png

4 0.1003757 0.4868858 0.1751953 0.849808 0 3.836976 -7.19443 1 frame_0003.png

5 0.09111181 0.4327817 0.1847671 0.8776445 -7.152557E-07 3.828277 -7.238114 1 frame_0004.png

6 0.08122531 0.3773733 0.1941105 0.9018387 0 3.817456 -7.271985 1 frame_0005.png

7 0.07254306 0.330838 0.201523 0.9190605 0 3.807217 -7.294176 1 frame_0006.png

8 0.05990382 0.2665369 0.2109377 0.9385494 7.152557E-07 3.792058 -7.319271 1 frame_0007.png

9 0.0457412 0.1987496 0.2195679 0.9540421 2.384186E-07 3.77583 -7.343328 1 frame_0008.png

10 0.03137358 0.1336585 0.2263545 0.9643209 0 3.760996 -7.367893 1 frame_0009.png

11 0.01611914 0.06755079 0.2315455 0.9703421 -5.960464E-08 3.747458 -7.396835 1 frame_0010.png

12 -0.0001728651 -0.0007150845 0.2349725 0.9720017 1.396984E-09 3.735613 -7.432373 1 frame_0011.png

13 -0.0162905 -0.06679983 0.236366 0.9692283 5.960464E-08 3.72639 -7.472581 1 frame_0012.png

14 -0.03274396 -0.1335439 0.2358768 0.9620063 0 3.71916 -7.518312 1 frame_0013.png

15 -0.0485228 -0.1974076 0.2337112 0.950818 0 3.713762 -7.565264 1 frame_0014.png

16 -0.06373439 -0.2591435 0.2301642 0.9358457 2.384186E-07 3.709326 -7.61114 1 frame_0015.png

17 -0.07850171 -0.3193029 0.2254688 0.9170862 -2.384186E-07 3.705013 -7.653099 1 frame_0016.png

18 -0.0931019 -0.3788544 0.2197355 0.8941575 0 3.700015 -7.688198 1 frame_0017.png

19 -0.1065555 -0.4335223 0.2135813 0.8689576 -4.768372E-07 3.694237 -7.711404 1 frame_0018.png

20 -0.11987 -0.4871345 0.206701 0.8400035 -2.384186E-07 3.687152 -7.723107 1 frame_0019.png

21 -0.1329543 -0.5391454 0.1991219 0.8074626 -1.192093E-06 3.678911 -7.72242 1 frame_0020.png

22 -0.1456165 -0.5888259 0.1908622 0.7717847 -7.152557E-07 3.670052 -7.710355 1 frame_0021.png

23 -0.1581953 -0.6377627 0.1814815 0.7316403 7.748604E-07 3.660933 -7.688333 1 frame_0022.png

24 -0.1701014 -0.6841584 0.1711226 0.6882658 -2.030283E-07 3.652688 -7.65961 1 frame_0023.png

25 0.1813145 0.7286353 -0.1594875 -0.6409208 -2.384186E-07 3.646061 -7.626605 1 frame_0024.png

26 0.1920303 0.7729703 -0.1457908 -0.5868445 -4.768372E-07 3.641806 -7.590051 1 frame_0025.png

