# POINT3D_ID X Y Z R G B ERROR
1 -4.678751 3.193192 4.799822 255 255 255 0
2 -4.759642 2.946238 4.568072 255 255 255 0
3 -4.040558 3.195953 4.858305 255 255 255 0
4 -4.861269 3.149486 4.51385 255 255 255 0
5 -4.518822 3.1413 4.90911 255 255 255 0
6 -4.370903 3.083579 4.830959 255 255 255 0
7 -4.61662 3.383136 4.231392 255 255 255 0
8 -4.658845 3.085418 4.653728 255 255 255 0
9 -5.104044 3.239025 4.623397 255 255 255 0
10 -4.673657 3.04172 4.84351 255 255 255 0
11 -4.654308 3.273546 4.973076 255 255 255 0
12 -4.502274 3.26263 4.376124 255 255 255 0
13 -4.947277 3.335323 4.483439 255 255 255 0
14 -4.596468 3.26269 4.647611 255 255 255 0
15 -4.662556 3.131997 4.496645 255 255 255 0
16 -4.511382 3.133912 4.465021 255 255 255 0
17 -4.537433 3.323577 4.607607 255 255 255 0
18 -4.639931 3.234059 4.592594 255 255 255 0
19 -4.82065 3.28115 4.632302 255 255 255 0
20 -5.0252 3.177393 4.859299 255 255 255 0
21 -4.867652 3.293034 4.716329 255 255 255 0
22 -4.939886 3.277903 4.827166 255 255 255 0
23 -4.673748 3.146594 4.395964 255 255 255 0
24 -5.137506 3.36419 4.595936 255 255 255 0
25 -4.891535 3.187729 4.887306 255 255 255 0
26 -4.895747 3.210866 3.870035 255 255 255 0
27 -4.948529 3.293108 4.838997 255 255 255 0
28 -4.768273 3.209105 5.086448 255 255 255 0
29 -4.620946 3.162262 4.680223 255 255 255 0
30 -4.439692 3.284899 4.799952 255 255 255 0
31 -4.964132 3.399872 4.864829 255 255 255 0
32 -4.979002 3.179883 4.722556 255 255 255 0
33 -4.584915 3.22268 4.829166 255 255 255 0
34 -4.69094 3.347625 4.547043 255 255 255 0
35 -4.918689 3.164197 4.687317 255 255 255 0
36 -4.720084 3.15284 4.593422 255 255 255 0
37 -4.758887 3.083049 4.791131 255 255 255 0
38 -4.873654 3.147679 4.845526 255 255 255 0
39 -4.737926 3.289261 4.730244 255 255 255 0
40 -5.009552 3.335453 4.919293 255 255 255 0
41 -5.136823 3.272998 4.156049 255 255 255 0
42 -4.904197 3.153449 4.50369 255 255 255 0
43 -4.642965 3.28099 4.699947 255 255 255 0
44 -4.881981 3.315702 4.278884 255 255 255 0
45 -4.390216 3.048622 5.038465 255 255 255 0
46 -4.650201 3.083847 4.414534 255 255 255 0
47 -5.007481 3.108766 4.927167 255 255 255 0
48 -4.535932 3.445796 4.975568 255 255 255 0
49 -4.187276 3.081952 4.84547 255 255 255 0
50 -4.391913 3.222286 4.67633 255 255 255 0
51 -4.309036 3.252627 4.219415 255 255 255 0
52 -4.400453 3.017954 4.032334 255 255 255 0
53 -4.278461 3.061077 4.040281 255 255 255 0
54 -4.55883 3.198842 4.396908 255 255 255 0
55 -4.426681 3.192942 4.158022 255 255 255 0
56 -4.538519 3.270834 4.51243 255 255 255 0
57 -4.272214 3.105478 4.443987 255 255 255 0
58 -4.279806 3.114264 4.01565 255 255 255 0
59 -4.049876 3.214446 4.410009 255 255 255 0
60 -4.21003 3.216516 4.137255 255 255 255 0
61 -4.184248 3.087605 4.618388 255 255 255 0
62 -4.060149 3.22492 4.682903 255 255 255 0
63 -4.027882 3.066004 4.698387 255 255 255 0
64 -4.343732 3.312287 4.724135 255 255 255 0
65 -4.158352 3.381259 4.79431 255 255 255 0
66 -4.364771 3.161014 4.504625 255 255 255 0
67 -4.5941 2.946419 4.331687 255 255 255 0
